Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning
SRR10245018	3609178	2994847	83.0	281	246	235	213	143	84	1	4	11	0	0	235	0
SRR10245019	2347727	1966963	83.8	275	244	231	200	140	93	1	2	7	0	0	231	0
SRR10245020	1424023	1238436	87.0	271	241	228	195	133	83	0	2	10	0	0	228	0
SRR10245021	3173291	2719039	85.7	292	241	225	199	143	93	1	4	14	0	0	225	0
SRR10245022	2478201	2124181	85.7	282	244	232	201	120	55	0	4	40	0	0	232	0
SRR10245023	5411625	4434613	81.9	289	248	239	215	139	75	0	5	21	0	0	239	0
SRR10245024	864441	702379	81.3	265	234	223	198	136	89	1	2	2	0	0	223	0
SRR10245025	699446	600830	85.9	257	226	217	192	110	58	0	3	9	0	0	217	0
SRR10245026	1056645	798701	75.6	268	232	222	200	141	91	0	4	5	0	0	222	0
SRR10245027	1350185	1220928	90.4	273	229	219	187	104	53	0	10	42	0	0	219	0
SRR10245028	964260	778557	80.7	266	233	223	197	135	91	0	1	1	0	0	223	0
SRR10245029	1027639	797827	77.6	265	229	221	202	143	91	0	2	4	0	0	221	0
SRR10245030	1062014	784431	73.9	257	233	222	201	144	101	0	2	3	0	0	222	0
SRR10245031	1289998	949216	73.6	264	231	220	203	145	95	1	3	5	0	0	220	0
SRR10245032	849300	623798	73.4	258	230	216	197	141	93	0	3	4	0	0	216	0
SRR10245033	4421497	3578164	80.9	296	246	236	211	142	91	1	2	9	0	0	236	0
SRR10245034	2892603	2454009	84.8	290	238	226	198	136	86	0	6	11	0	0	226	0
SRR10245035	4289005	3630998	84.7	285	249	238	206	122	64	0	6	30	0	0	238	0
SRR10245036	1980246	1683462	85.0	276	238	228	202	124	64	0	5	37	0	0	228	0
SRR10245037	702181	609247	86.8	261	224	213	183	105	47	0	2	12	0	0	213	0
SRR10245038	4030178	3629591	90.1	291	243	234	202	94	46	0	15	76	0	0	234	0
SRR10245039	11675826	10020819	85.8	292	261	242	207	98	47	0	9	90	0	0	242	0
SRR10245040	3699718	3120432	84.3	277	248	234	203	130	80	0	1	13	0	0	234	0
SRR10245041	4850243	4245407	87.5	289	253	239	207	128	75	0	2	11	0	0	239	0
SRR10245042	4737954	3633680	76.7	287	247	238	213	142	94	1	4	9	0	0	238	0
SRR10245043	1704194	1549465	90.9	280	233	223	186	104	49	0	3	56	0	0	223	0
SRR10245044	435692	405045	93.0	239	203	184	72	11	0	0	1	2	0	0	184	0
SRR10245045	3550878	3213904	90.5	290	242	229	190	113	58	0	7	72	0	0	229	0
SRR10245046	4170426	3637646	87.2	287	246	235	209	124	67	0	6	40	0	0	235	0
SRR10245047	2427195	2066970	85.2	286	242	229	197	136	91	0	3	22	0	0	229	0
SRR10245048	10091342	8636484	85.6	292	257	238	207	117	59	1	13	75	0	0	238	0
