Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning
SRR10245009	4005839	1623119	40.5	338	309	308	285	214	141	8	5	11	0	0	308	0
SRR10245010	3044292	1099261	36.1	333	306	304	280	208	120	8	4	16	0	0	304	0
SRR10245011	3765804	1221187	32.4	335	304	300	248	148	81	0	5	32	0	0	300	0
SRR10245012	3239415	1168322	36.1	346	308	305	275	207	133	8	6	11	0	0	305	0
SRR10245013	1740649	655494	37.7	334	299	298	275	208	134	7	2	4	0	0	298	0
SRR10245014	5419710	2202604	40.6	347	308	307	283	191	106	5	2	38	0	0	307	0
SRR10245015	2304902	895333	38.8	335	303	299	271	200	123	8	4	5	0	0	299	0
SRR10245016	260748301	35644047	13.7	387	386	385	379	273	163	11	9	23	0	0	385	0
SRR10245017	1126034	475781	42.3	323	282	281	260	201	129	8	3	4	0	0	281	0
SRR10245018	3609178	1516407	42.0	335	303	302	287	223	151	7	5	7	0	0	302	0
SRR10245019	2347727	964967	41.1	327	297	296	270	207	140	8	3	3	0	0	296	0
SRR10245020	1424023	629053	44.2	331	294	291	258	189	109	4	4	9	0	0	291	0
SRR10245021	3173291	1291911	40.7	338	303	302	270	200	132	8	2	7	0	0	302	0
SRR10245022	2478201	979509	39.5	329	299	297	263	180	105	5	5	23	0	0	297	0
SRR10245023	5411625	2216446	41.0	342	309	308	291	237	155	9	3	13	0	0	308	0
SRR10245024	864441	357087	41.3	322	285	282	252	190	129	8	2	2	0	0	282	0
SRR10245025	699446	295544	42.3	321	280	278	242	151	93	3	1	5	0	0	278	0
SRR10245026	1056645	442779	41.9	329	284	283	270	211	144	7	2	2	0	0	283	0
SRR10245027	1350185	524345	38.8	326	282	279	225	137	77	4	7	23	0	0	279	0
SRR10245028	964260	400207	41.5	329	288	287	261	197	131	7	4	4	0	0	287	0
SRR10245029	1027639	433133	42.1	325	284	283	263	209	142	8	3	4	0	0	283	0
SRR10245030	1062014	449789	42.4	326	282	281	272	222	157	8	4	5	0	0	281	0
SRR10245031	1289998	532218	41.3	334	288	287	272	228	157	7	3	5	0	0	287	0
SRR10245032	849300	356676	42.0	332	280	277	261	210	146	8	4	6	0	0	277	0
SRR10245033	4421497	1806839	40.9	343	309	307	290	230	153	8	3	3	0	0	307	0
SRR10245034	2892603	1178656	40.7	335	304	303	271	207	124	5	4	7	0	0	303	0
SRR10245035	4289005	1749273	40.8	346	305	303	280	195	127	8	2	16	0	0	303	0
SRR10245036	1980246	821775	41.5	325	297	296	264	191	110	6	6	16	0	0	296	0
SRR10245037	702181	280108	39.9	309	278	274	230	137	73	2	0	1	0	0	274	0
SRR10245038	4030178	1587859	39.4	336	305	304	259	151	74	2	14	47	0	0	304	0
SRR10245039	11675826	4842359	41.5	349	313	310	289	198	98	4	6	52	0	0	310	0
SRR10245040	3699718	1527883	41.3	342	303	302	279	207	122	5	2	10	0	0	302	0
SRR10245041	4850243	2010487	41.5	347	310	308	277	203	120	6	3	9	0	0	308	0
SRR10245042	4737954	1909547	40.3	340	309	307	295	241	168	10	5	6	0	0	307	0
SRR10245043	1704194	661490	38.8	328	293	292	212	115	64	0	3	40	0	0	292	0
SRR10245044	435692	159736	36.7	300	237	225	62	8	1	0	1	2	0	0	225	0
SRR10245045	3550878	1388591	39.1	333	304	302	257	159	79	1	6	45	0	0	302	0
SRR10245046	4170426	1725069	41.4	339	309	308	281	193	109	5	5	19	0	0	308	0
SRR10245047	2427195	966413	39.8	333	299	297	267	199	126	7	3	11	0	0	297	0
SRR10245048	10091342	4289666	42.5	340	314	312	293	210	122	7	7	46	0	0	312	0
